Date,REGIME,OLS_FamaMacBeth,Ridge,Lasso,NN_64_32
2015-08-31,NEUTRAL,-0.03089436166045595,-0.03089436166045595,-0.04125874929894774,-0.0435331508499369
2015-09-30,NEUTRAL,0.06074556747250441,0.06074556747250441,0.04570062862168763,-0.00331796170334972
2015-10-30,NEUTRAL,-0.045043805972411116,-0.045043805972411116,-0.050242195683503375,-0.00827009893986286
2015-10-31,NEUTRAL,-0.045730560192120996,-0.045730560192120996,-0.06781403536412454,-0.008621783348885291
2015-11-30,NEUTRAL,-0.0056187796457070945,-0.0056187796457070945,-0.01558714232829103,0.013697919427389276
2015-12-31,NEUTRAL,0.06535996156545168,0.06535996156545168,0.07611991212048179,0.012264128911279405
2016-01-29,NEUTRAL,0.06571819064676451,0.06571819064676451,0.07669572704912628,0.013410910999757802
2016-01-31,NEUTRAL,0.062306921032443875,0.062306921032443875,0.05318564529909554,-0.023201985425005595
2016-02-29,NEUTRAL,0.029526285832698347,0.029526285832698347,0.00622178957925891,-0.020039059125594887
2016-03-31,NEUTRAL,-0.03791078418090026,-0.03791078418090026,-0.01878329248349018,-0.01575744302999421
2016-04-29,BULL,0.058943900758832,0.058943900758832,0.054862838448409154,0.012886743025086578
2016-04-30,BULL,0.02150896960566807,0.02150896960566807,0.028809833273695993,0.015538979173514085
2016-05-31,NEUTRAL,0.021785672628412446,0.021785672628412446,0.03310322769199165,0.030673546645745363
2016-06-30,NEUTRAL,0.014393845793761259,0.014393845793761259,0.0026636773726430984,0.016905834107452375
2016-07-29,NEUTRAL,0.033716423716093236,0.033716423716093236,0.03149511361630451,-0.013579316705795836
2016-07-31,NEUTRAL,0.00053119095465929,0.00053119095465929,-0.004516517442065158,-0.006523273170030316
2016-08-31,NEUTRAL,0.006510947961706964,0.006510947961706964,0.004821979744759863,-0.025047093352700812
2016-09-30,NEUTRAL,0.02552474214122453,0.02552474214122453,0.030928554610301803,-0.01831907274620864
2016-10-31,NEUTRAL,0.01756647912157996,0.01756647912157996,0.0034894641347597115,0.017862179025504205
2016-11-30,BULL,0.02220047022970647,0.02220047022970647,0.0026767271443443688,0.014820442774141991
2016-12-30,NEUTRAL,-0.00012914333070226242,-0.00012914333070226242,-0.0014784960360028788,0.015325391599967882
2017-01-31,NEUTRAL,-0.0054019474336726644,-0.0054019474336726644,-0.010358107874685716,-0.005664515922379376
2017-02-28,BULL,-0.007186835723743816,-0.007186835723743816,0.009751675273641685,-0.027802769241608936
2017-03-31,BULL,-0.000582146423384864,-0.000582146423384864,0.016130829322403183,-0.02570976122802479
2017-04-28,NEUTRAL,0.009137714831957976,0.009137714831957976,0.00982502150822091,0.0033959523251882277
2017-04-30,BULL,0.05883024458837913,0.05883024458837913,0.041170413177389814,0.004766383434567305
2017-05-31,NEUTRAL,0.02015244553190245,0.02015244553190245,0.0274721853165323,-0.0007744882149508499
2017-06-30,NEUTRAL,0.007582924725791973,0.007582924725791973,-0.007675322342370863,0.03744451137810763
2017-07-31,BULL,0.008432840419694707,0.008432840419694707,0.00333520396781347,-0.0022332719385557837
2017-08-31,BULL,0.0168316495666472,0.0168316495666472,0.01382591740345093,0.02151131779446298
2017-09-29,BULL,0.054340634160428024,0.054340634160428024,0.04779834505159686,0.01832725992428837
2017-10-31,BULL,-0.0143253278908115,-0.0143253278908115,-0.005442070403131931,0.006699030261686216
2017-11-30,NEUTRAL,0.025261639999044534,0.025261639999044534,0.024709848262459443,0.020009710016001984
2017-12-29,NEUTRAL,0.033236118899107284,0.033236118899107284,0.04276019327694071,0.03097823625127999
2018-01-31,NEUTRAL,0.020214025929661004,0.020214025929661004,0.03221019351998145,0.013865397335943021
2018-02-28,NEUTRAL,0.026135167900959627,0.026135167900959627,0.014073597476735636,0.04290089984359668
2018-03-30,NEUTRAL,0.07361744429407223,0.07361744429407223,0.08028766198648475,0.07813821184057733
2018-04-30,NEUTRAL,0.01979251501341478,0.01979251501341478,0.004599535199639673,0.011578620717392853
2018-05-31,NEUTRAL,0.010838175676813864,0.010838175676813864,0.004050446416301736,0.0033365579309827583
2018-06-29,NEUTRAL,-0.00791819381120975,-0.00791819381120975,-0.012755854761131485,0.01747296768791772
2018-07-31,NEUTRAL,0.024378370971066037,0.024378370971066037,0.00386691013254754,-0.006103804543545449
2018-08-31,NEUTRAL,0.06819372955565707,0.06819372955565707,0.06924138156888131,0.013180792862399874
2018-09-28,NEUTRAL,0.012753302186960629,0.012753302186960629,0.00760438039115105,0.0069863082571537715
2018-10-31,NEUTRAL,0.01963714090179744,0.01963714090179744,0.003542782777469722,-0.007224687481312386
2018-11-30,NEUTRAL,0.012231770209466187,0.012231770209466187,0.006400199407009553,0.036144707810526734
2018-12-31,CRASH,-0.010675885072484917,-0.010675885072484917,-0.01242936094377154,-0.01570240875102475
2019-01-31,NEUTRAL,0.09460655834252665,0.09460655834252665,0.09598605369528637,0.0806230200029496
2019-02-28,NEUTRAL,0.021501777534820212,0.021501777534820212,0.017258903992092647,0.0181309345781979
2019-03-29,NEUTRAL,-0.010402972123333663,-0.010402972123333663,-0.02291909110186597,-0.0019424061373642392
2019-04-30,NEUTRAL,0.014321260823229147,0.014321260823229147,0.013873222860133459,0.012444701053911163
2019-05-31,NEUTRAL,0.038681713088292616,0.038681713088292616,0.01751023945783243,0.008473215126263218
2019-06-28,BULL,0.001310753345620667,0.001310753345620667,0.005992252639801259,0.03198365941079571
2019-07-31,NEUTRAL,0.04633661661303466,0.04633661661303466,0.054579777837004975,-0.0033715927214317334
2019-08-30,NEUTRAL,0.012103916072570785,0.012103916072570785,0.005264934315702985,-0.0078050252532161305
2019-09-30,NEUTRAL,0.00745121800720667,0.00745121800720667,0.030117234480961284,-0.017521778056729387
2019-10-31,NEUTRAL,-0.011152604637085636,-0.011152604637085636,-0.018065117488080765,0.04842132199008439
2019-11-29,NEUTRAL,0.02521524522145884,0.02521524522145884,0.049543016833956725,0.024571691584246463
2019-12-31,NEUTRAL,0.06010204783000028,0.06010204783000028,0.051165696863207384,0.025848102438683858
2020-01-31,NEUTRAL,0.03298301938914855,0.03298301938914855,0.03726941043121699,-0.015421154306227137
2020-02-28,NEUTRAL,0.08546382888339904,0.08546382888339904,0.07314207283400109,0.05135647786176299
2020-03-31,NEUTRAL,0.11255688016414298,0.11255688016414298,0.11740551772808541,0.07345549213671304
2020-04-30,NEUTRAL,0.09476892809110801,0.09476892809110801,0.11667788998758433,0.028320180494110326
2020-05-29,CRASH,-0.01896277598516692,-0.01896277598516692,0.07068690978027582,0.06960082503723315
2020-06-30,NEUTRAL,0.2948579779722997,0.2948579779722997,0.2764679380101933,0.08684923564503085
2020-07-31,NEUTRAL,0.002151625362134549,0.002151625362134549,0.022039550820541813,-0.020084671191732205
2020-08-31,NEUTRAL,0.05355052466489132,0.05355052466489132,0.04500231186558597,0.030117510933625604
2020-09-30,NEUTRAL,0.014699988109834099,0.014699988109834099,-0.008865045816830338,-0.0016167086626409557
2020-10-30,BULL,0.06078186313368498,0.06078186313368498,0.06057548671554528,0.018737088924734774
2020-10-31,BULL,-0.041895026369861255,-0.041895026369861255,-0.026615839183641958,-0.02715072192929767
2020-11-30,BULL,0.04610516055077783,0.04610516055077783,0.04358085054003369,-0.010415213667378093
2020-12-31,BULL,0.12779095581557814,0.12779095581557814,0.13755787071925768,-0.06343257202199257
2021-01-29,BULL,0.05025099232203874,0.05025099232203874,0.058078520839010585,-0.014793432561825477
2021-01-31,BULL,0.06344292822563276,0.06344292822563276,0.05589990175457894,-0.004395713744262918
2021-02-26,BULL,0.078745320884022,0.078745320884022,0.1080544766837862,0.00839933244222077
2021-03-31,BULL,0.00027957997404116225,0.00027957997404116225,-0.01619037807412074,0.007647968652073241
2021-04-30,BULL,-0.021122261863508372,-0.021122261863508372,-0.030869272911358783,-0.005129696356315945
2021-05-31,BULL,0.01194829948971228,0.01194829948971228,0.014570215321819412,0.009849136481741596
2021-06-30,BULL,0.024356610926074572,0.024356610926074572,0.023769067236609084,0.014446100090053739
2021-07-30,BULL,-0.03535733944860298,-0.03535733944860298,-0.04278292055297205,-0.0011212195197057135
2021-07-31,BULL,0.00987636174646762,0.009876361746467617,0.01136226323485968,-0.012749990997323565
2021-08-31,NEUTRAL,0.06245022487892428,0.06245022487892428,0.05023919777503313,0.04728981070909816
2021-09-30,NEUTRAL,-0.026782724957741477,-0.026782724957741477,-0.026306035806126258,0.012825763617860746
2021-10-29,NEUTRAL,0.007900472265484468,0.007900472265484468,-0.001231170342125611,0.021240835025106125
2021-10-31,NEUTRAL,-0.04006494569305307,-0.04006494569305307,-0.05546400206138553,-0.008974503574999928
2021-11-30,NEUTRAL,0.11290347745939568,0.11290347745939568,0.09894353303155837,0.056369322878225714
2021-12-31,NEUTRAL,0.07621459689942026,0.07621459689942026,0.039459819928752346,0.0464237111897337
2022-01-31,NEUTRAL,0.018358565173723935,0.018358565173723935,-0.0007775764959198489,0.02027000227743119
2022-02-28,NEUTRAL,-0.021744821833933982,-0.021744821833933982,-0.02695998288272791,-0.0015232132739461807
2022-03-31,NEUTRAL,0.033554455249089704,0.033554455249089704,0.012442596552074626,0.01852380516041089
2022-04-29,CRASH,-0.053901206009682685,-0.053901206009682685,-0.04382160294751846,-0.04596552968641688
2022-04-30,NEUTRAL,0.13288443985047813,0.13288443985047813,0.13970126599679616,0.031253016406732115
2022-05-31,NEUTRAL,0.07252666460466436,0.07252666460466436,0.06540660766115217,0.040444945731922755
2022-06-30,NEUTRAL,0.03956143289248469,0.03956143289248469,0.05779140137025306,0.05184006487051171
2022-07-29,NEUTRAL,0.02945487607583093,0.02945487607583093,-0.006932339865164769,-0.0018334538734409017
2022-07-31,NEUTRAL,-0.0051952259275914875,-0.0051952259275914875,0.018512430421042315,0.008062215155021958
2022-08-31,BULL,0.020406122210488077,0.020406122210488077,0.037779681064114494,0.016427085186464168
2022-09-30,NEUTRAL,0.045035162319047285,0.045035162319047285,0.05131505937560733,0.02856827912647197
2022-10-31,BULL,0.09389502691236377,0.09389502691236377,0.12572495819434246,-0.008156254422583123
2022-11-30,BULL,0.04273479178227123,0.04273479178227123,0.03742532724187169,0.016132177929640945
2022-12-30,NEUTRAL,0.025985218321371097,0.025985218321371097,0.011600451376160338,-0.0209889052796685
2023-01-31,NEUTRAL,0.01969819781510259,0.01969819781510259,0.004439962190193568,-0.003127181578022796
2023-02-28,NEUTRAL,0.032157519648674165,0.032157519648674165,0.059342248040347934,-0.0011052586902526168
2023-03-31,BULL,0.09121362936143135,0.09121362936143135,0.0717153906976011,0.06909717674756524
2023-04-28,NEUTRAL,0.07491389056367685,0.07491389056367685,0.08681225828935324,0.020716008086055445
2023-04-30,NEUTRAL,-0.006686699018780062,-0.006686699018780062,0.005445005382107693,0.0059396683997738516
2023-05-31,NEUTRAL,0.006928628153805089,0.006928628153805089,-0.008195023688835058,0.010089240438725496
2023-06-30,NEUTRAL,0.02438546567617467,0.02438546567617467,0.0382556162494772,0.0331089847183556
2023-07-31,NEUTRAL,-0.027181247702088476,-0.027181247702088476,-0.028606305660050804,-0.010913905199821397
2023-08-31,NEUTRAL,0.042387106696796385,0.042387106696796385,0.018008974690455322,0.001086100858142168
2023-09-29,NEUTRAL,0.0627726652303606,0.0627726652303606,0.054185224563331705,0.024227393573272367
2023-10-31,NEUTRAL,-0.006544915609750483,-0.006544915609750483,0.0034570731818278095,0.010697384479992179
2023-11-30,BULL,0.057452443311639095,0.057452443311639095,0.0426138429441793,0.05584954306780632
2023-12-29,BULL,0.0014256223092222325,0.0014256223092222325,-0.00827454595978733,0.008760601097493152
2024-01-31,BULL,0.03740051102609175,0.03740051102609175,0.04765070029956395,0.0008444162659724391
2024-02-29,BULL,0.013817250787332796,0.013817250787332796,0.001836127574811013,0.0038490395516710897
2024-03-29,NEUTRAL,0.006320818553172429,0.006320818553172429,0.004885340107236621,0.00552589392961365
2024-04-30,NEUTRAL,0.0465600464141408,0.0465600464141408,0.03771928942843775,-0.0012839374399798188
2024-05-31,NEUTRAL,0.04121786392981832,0.04121786392981832,0.0431511144982777,0.007242396584557331
2024-06-28,NEUTRAL,0.015268424012008846,0.015268424012008846,0.04058640471412284,-0.03150839115247004
2024-07-31,NEUTRAL,0.009423749964103705,0.009423749964103705,-0.01084264624051456,-0.005348887518368442
2024-08-30,NEUTRAL,-0.008456658849330057,-0.008456658849330057,-0.004946085636300633,0.053394406914278325
2024-09-30,BULL,0.04326314325290257,0.04326314325290257,0.04793457603686632,0.030356134361366693
2024-10-31,NEUTRAL,0.003465847180908612,0.003465847180908612,-0.0023958764808282105,0.009640693305579767
2024-11-29,BULL,-0.000622648682804143,-0.000622648682804143,0.013939833193805491,0.02507530680965532
2024-12-31,NEUTRAL,0.02635587560567882,0.02635587560567882,0.02986982622864562,0.04585747526623448
2025-01-31,NEUTRAL,-0.03777021857262632,-0.03777021857262632,-0.03658046324207513,-0.03990688311256531
2025-02-28,NEUTRAL,0.028515906934006484,0.028515906934006484,0.018207025335483556,0.01191333905818433
2025-03-31,NEUTRAL,-0.03849290740869836,-0.03849290740869836,-0.026294356796463147,-0.007755651174762127
2025-04-30,NEUTRAL,-0.0022352581992450063,-0.0022352581992450063,0.015834309704155725,0.0011246508911361489
2025-05-30,NEUTRAL,0.0800598040099105,0.0800598040099105,0.03741820159889036,0.06550332130029735
2025-06-30,NEUTRAL,0.08015496405391169,0.08015496405391169,0.07915986989842393,0.03443164743938534
2025-07-31,NEUTRAL,0.06098505082068464,0.06098505082068464,0.0666724262749333,0.015823280816774064
2025-08-29,NEUTRAL,0.0636724694954067,0.0636724694954067,0.050162999576407165,0.03606536707256016
2025-09-30,NEUTRAL,0.02737188049089703,0.02737188049089703,-0.010580210358401275,0.020895099389497844
2025-10-31,NEUTRAL,0.024125587121667142,0.024125587121667142,0.03456583128440138,0.03095495180808843
2025-11-28,NEUTRAL,-0.0070901355915497614,-0.0070901355915497614,0.008790106807914595,-0.004736994807143791
